Name,Year,Category
Diana,1990,2
Bob,1991,2
Andrew,1992,5
Emily,1993,3
Gert,1993,2
Erin,1995,2
Opal,1995,3
Luis,1995,3
Marilyn,1995,1
Roxanne,1995,3
Bertha,1996,2
Fran,1996,3
Cesar,1996,1
Dolly,1996,1
Hortense,1996,1
Lili,1996,2
Danny,1997,1
Bonnie,1998,2
Earl,1998,1
Georges,1998,3
Mitch,1998,1
Bret,1999,3
Irene,1999,2
Dennis,1999,1
Floyd,1999,4
Jose,1999,1
Lenny,1999,4
Debby,2000,1
Keith,2000,1
Iris,2001,4
Michelle,2001,4
Lili,2002,1
Gustav,2002,1
Isidore,2002,3
Claudette,2003,1
Isabel,2003,2
Erika,2003,1
Juan,2003,2
Alex,2004,1
Charley,2004,4
Gaston,2004,1
Frances,2004,2
Ivan,2004,3
Jeanne,2004,3
Frances,2004,3
Jeanne,2004,3
Cindy,2005,1
Dennis,2005,3
Katrina,2005,3
Ophelia,2005,1
Rita,2005,3
Wilma,2005,3
Dennis,2005,4
Emily,2005,4
Stan,2005,1
Wilma,2005,4
Beta,2005,2
Humberto,2007,1
Dean,2007,5
Felix,2007,5
Lorenzo,2007,1
Dolly,2008,1
Gustav,2008,4
Hanna,2008,1
Ike,2008,4
Kyle,2008,1
Paloma,2008,2
Ida,2009,1
Alex,2010,2
Earl,2010,1
Igor,2010,1
Karl,2010,3
Richard,2010,2
Tomas,2010,2
Irene,2011,3
Isaac,2012,1
Sandy,2012,1
Ernesto,2012,2
Gordon,2012,1
Sandy,2012,3
Arthur,2014,2
Fay,2014,1
Gonzalo,2014,2
Joaquin,2015,4
Hermine,2016,1
Earl,2016,1
Matthew,2016,4
Otto,2016,3
