Station ID,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
1,52.429,54.5,58.625,16,17.875,23.25,54.625,NA,NA,NA,NA,NA,27.75,24.75,16.571,12.75,21.375,27.333,31.75,25.125,33,71.5,57,55.125,55.25,51.25,52.375,54.5,51.75,39,43
2,52.625,53.5,58.75,40.625,26.625,25.286,32,48.875,45.5,21.429,28.125,37.375,41,51.5,27.5,14.625,20.875,36.875,39.667,37.5,41.25,42.375,55,53.625,51.75,50.5,51,48,43.5,43,40.75
3,57.25,65.875,57.25,38.75,24.625,31.5,63,75,71.125,23.875,37.286,39.5,54.875,48,40.25,24.5,19,24.625,30.5,37.25,39.75,48,50.5,52.5,50.875,45.25,50.875,38.75,49.375,48.75,51
4,52,48,39.25,31.5,28.25,18.286,35.625,47.5,32.75,NA,29.125,40.375,34,36.5,23.75,13.5,27.75,51,38.125,31.429,40.667,41.625,51.75,48.25,46.5,65.25,49,49,46,33.25,33.625
5,50,59.125,44.25,44.375,35.25,24,33.75,62.125,59,18.714,22.375,40.25,44.625,53.286,34,18.875,24.625,42.25,33.143,36.5,35.75,46.625,56.5,52.25,54.625,NA,NA,54.625,36.375,42.125,36.625
6,37.625,56,52.25,44.125,30.625,14.5,43.75,72.125,61.75,NA,17.125,39.125,44,49.25,27.375,19.75,27.375,41.125,42.75,49.25,44.875,49.875,NA,NA,NA,64.625,49.625,50.25,30.25,46.375,50
7,31.875,64,47.25,36.875,24.375,15,35.875,61.5,59,15.25,21.75,37.625,39,41.25,31.25,17.625,22.75,33.375,36.5,43.25,46,46,51.25,85.125,73,61,41,50.875,32.125,47.5,49.125
8,39.625,51.5,46.75,32,28.125,13.25,36.25,59.5,55.375,9.5,17.875,30.625,48.625,52.625,33.25,18.5,23.375,41,36.25,48.875,65.625,55,61.5,88.625,95.125,70.375,47.625,55.875,40.625,43.375,42.625
9,39.667,54.875,43.125,32.875,29.125,23,43.75,54.625,66,17.125,27,32.75,39.125,41,34,22.875,25.375,39.5,41.125,41.5,37.875,32.875,46.5,72.375,67.5,52,41.125,47.429,38.25,44.375,47
10,41,56.875,38.125,34.875,28.5,17.375,38.125,67.625,55.5,15.75,23.375,39.875,51,50.25,33.75,16.875,32,47.125,39.875,43.625,39,42,50.625,84.875,68.875,84.625,NA,NA,33.125,45.875,41.375
11,40.625,64.375,49.875,39.75,27.75,19.75,41.875,78.375,51,15.875,17,30,47.625,43.875,29.125,12.75,18.875,32.375,31.125,44,53.875,49.125,61.625,74.125,93.625,71.25,50.25,65.25,43.375,42.25,38.75
12,39.625,52.625,56,45.375,34.375,21.375,35.5,70,57,16.125,20.375,37.75,42.875,52,36.625,21.25,34.5,37.5,42.25,56.75,35.857,39.5,45,74.5,50.25,59.125,51.875,43.75,30.875,44.25,44.75
13,NA,52.625,49.125,40.875,32.375,24.875,41,59.75,66,15.25,21.5,36.625,NA,NA,NA,NA,NA,NA,NA,54.375,44.125,43.5,55.75,76.5,52.25,66.75,46.75,46.375,33.125,45,45.25
14,34.25,51.5,51.5,46.625,30.625,17.5,38.375,71,61,15.25,18.5,36.75,41,48.25,28.875,20,27.625,37,39.125,50,45.375,44.75,51.125,86.875,68,61.125,51,55.75,29.875,44.625,47.75
15,40.75,57.125,42.625,33.125,24.875,24.625,53.125,52.25,64.25,18.143,26.714,32.625,37.5,46,37.125,21.25,19.25,20.375,29.5,30.75,38.5,44.5,55.625,51.125,42.375,44.875,41,45.125,45.25,42.25,47.625
16,58.5,69.125,57.875,45.5,29.625,27,38.375,70.5,73.375,NA,NA,44.375,58.75,45.625,33.75,25.875,26.5,29.875,36.875,45.375,42,54.875,57.125,65.5,74.5,56.25,58.5,48.625,43.5,44,48.375
17,48.75,49.375,51.625,18.875,NA,NA,40.625,NA,NA,NA,NA,NA,NA,18.625,17.25,13.125,23.5,37.375,28.75,30.5,48.5,56.875,44.625,53.375,60.125,54,55,67,58.875,38.625,39.625
18,47.625,49.75,54,16,18.75,22,48.5,NA,NA,NA,NA,NA,27.75,23.125,19.25,13,21.375,32.375,28.875,26.75,39.875,63.75,46.5,56.875,55.125,48.25,46.75,55.125,51.875,40.125,40.625
19,49.5,53.375,47.75,33.875,25.625,19.714,33.875,52.625,33.25,20.286,29.125,35.125,36.875,37,23.375,16.75,28.875,46,NA,52.625,43.375,43.75,58.75,53.5,53.25,70.875,52.375,53.75,49.5,34.125,37.875
20,59.875,70.25,47.875,45.625,29.375,28.875,46.875,79.75,73.875,20.714,34.143,39.5,53.25,45.125,43.75,24.75,23.75,27.625,32.875,38,50.625,55.875,58.125,58.5,70.625,51.375,49.167,51.625,50.5,45.625,51.625
21,53.75,42.625,38.75,36.125,20.25,26.625,30.857,63.5,25.25,21.286,24,31.25,32.625,30.875,21.125,13.625,19.875,35.625,39,42.571,39.75,46.875,63.5,60.625,65.75,70.625,52.25,42.75,42.25,41.75,36.125
22,46,63.125,52.5,40.375,26.375,21.429,41,72.125,53.875,18,22.875,33.375,48.571,43.875,32.25,15.5,22.75,32.125,29.5,44.875,61.75,56.75,63.875,74.875,97,75.571,56,71.75,55,44.875,39.5
23,38.5,48,38.125,24.625,17.75,26.75,30.333,26.25,33.875,15.75,20.625,32.125,28.25,25.625,18.25,11.125,13.5,21,28.833,35.375,23.125,27,30.625,49.375,38,36.625,37.5,33.5,33.5,39.375,24.625
24,48,49.5,43.5,38.25,24.75,18.714,31.25,49.75,40.875,16.714,19.857,30.875,35.375,40.714,26.125,13.625,25.125,37.25,27.5,40.5,34,35.125,51.625,49,56.75,69,44.25,47.375,31.5,33.125,37
25,51.833,NA,NA,NA,NA,20.75,43,NA,NA,NA,NA,29.429,40.125,38.75,28.375,17.625,22.875,35.75,29,39.25,35.375,NA,NA,NA,NA,56.375,49.375,56,49.5,49.625,35.5
26,63.5,59.875,53.375,55.375,53,53.25,50.875,52.625,56,53.5,54.75,66,66.5,69.375,70.125,63.125,69.875,72.25,58.375,61.25,50.125,38,44.5,51.375,64.75,53.429,58.375,58,45.875,51.429,40.125
27,89,60.75,75.125,54.75,61.429,61.25,57.875,54.375,68.125,48.75,50.857,59.286,62.714,61.875,NA,63.875,69.857,67.714,79.167,65.625,64.125,66.5,63.625,52.125,NA,50.571,58.625,60,55.75,58.625,52.75
28,81.5,66.125,62.25,64.25,56.25,58.75,53.875,55.625,57,62.625,64.75,70.75,68.375,81,68.875,70.875,74.875,84.625,97.5,98.375,68,39.125,65.875,70,55.875,45.375,56,61.25,58,49.125,39.25
